,Forest area,,Threatened species,,,,Terrestrial protected areas,Marine protected areas
,,,Mammals,Birds,Fishes,Higher plants,,
,sq. km thousands,,,,,,% of total land area,% of territorial waters
Seychelles,0,0,6,13,24,61,42.1,0
Sierra Leone,31,25,22,16,57,72,9.4,0.5
Singapore,0,0,14,22,29,62,5.6,0
Sint Maarten (Dutch part),..,0,2,1,31,3,0,8.7
Slovak Republic,19,19,4,12,5,25,37.6,..
Slovenia,12,12,6,10,33,7,53.6,213.4
Solomon Islands,25,25,19,24,24,16,2.2,0.1
Somalia,83,60,16,21,31,49,0.8,..
South Africa,181,171,30,54,121,153,8,12.1
South Sudan,..,72,14,21,0,17,15.5,..
Spain,139,186,17,19,83,247,28.1,8.4
Sri Lanka,24,21,30,16,57,297,29.9,0.1
St. Kitts and Nevis,0,0,2,3,30,2,3.3,0.2
St. Lucia,0,0,2,7,30,7,18.7,0.2
St. Martin (French part),0,0,2,1,31,3,12.8,96.4
St. Vincent and the Grenadines,0,0,2,4,29,6,22.4,0.2
Sudan,..,184,16,26,32,17,2.3,16
Suriname,154,152,9,9,32,27,14.5,1.5
Sweden,281,280,1,11,15,5,14.9,15.2
Switzerland,12,13,3,9,9,4,9.7,..
Syrian Arab Republic,4,5,14,17,51,26,0.7,0.2
Tajikistan,4,4,7,15,5,12,22.3,..
Tanzania,574,457,41,49,179,644,38.1,3
Thailand,194,199,59,62,106,159,18.8,1.9
Timor-Leste,10,9,5,6,13,2,13.1,1.4
Togo,14,12,13,13,38,13,27.6,0.2
Tonga,0,0,2,5,16,5,15.9,1.5
Trinidad and Tobago,2,2,2,5,37,50,30.6,0
Tunisia,6,7,14,11,39,9,7.9,1
Turkiye,198,222,19,20,131,113,0.2,0.1
Turkmenistan,41,41,10,19,13,4,3.2,3
Turks and Caicos Islands,0,0,2,4,30,9,44.4,0.1
Tuvalu,0,0,2,1,13,0,2,0
Uganda,36,23,31,30,60,64,16.1,..
Ukraine,93,97,11,17,24,22,4,3.4
United Arab Emirates,2,3,8,13,20,0,18,11.3
United Kingdom,28,32,5,11,48,42,28.7,28.9
United States,"3,025","3,098",40,91,251,510,13,41.1
Uruguay,8,20,10,22,45,22,3.4,0.7
Uzbekistan,30,37,10,19,7,16,3.4,..
Vanuatu,4,4,8,8,18,10,4.2,0
"Venezuela, RB",520,462,35,52,45,86,54.1,3.5
Vietnam,94,146,56,52,83,231,7.6,0.6
Virgin Islands (U.S.),0,0,1,3,29,17,13.8,0.9
West Bank and Gaza,0,0,4,15,2,6,8.4,..
"Yemen, Rep.",5,5,11,16,40,163,0.8,0.5
Zambia,474,448,13,20,20,23,37.9,..
Zimbabwe,188,174,10,19,3,52,27.2,..
